run_id,data_source,trade_id,ticker_a,ticker_b,basket,direction,entry_time,exit_time,entry_z,exit_z,entry_spread,exit_spread,bars_held,pnl_z,ml_proba_at_exit,label,feat_entry_z,feat_abs_entry_z,feat_pnl_proxy,feat_bars_held,feat_confidence,feat_velocity,feat_exit_z,feat_favorable,feat_best_fav,feat_vol,exit_features_json,notional,pnl_dollars,cost_dollars,feat_half_life,broker,qty_a,qty_b,alpaca_order_ids,status
20260916T004537Z,alpaca_live,3,MU,WDC,memory,LONG_SPREAD,2026-01-06 05:00:00,2026-01-07 05:00:00,-2.676741779358162,2.790078659238421,-20.99067332472282,25.91066677468035,1,5.466820438596583,,1.0,-2.676741779358162,2.676741779358162,5.466820438596583,0.0333333333333333,0.631461669162795,4.35020255054485,2.790078659238421,5.466820438596583,5.466820438596583,11.369023052989672,"[-2.676741779358162, 2.676741779358162, 5.466820438596583, 0.03333333333333333, 0.631461669162795, 4.35020255054485, 2.7900786592384215, 5.466820438596583, 5.466820438596583, 11.369023052989672, 0.06666666666666667]",8040.619762871845,436.3499966813654,3.216247905148738,0.0666666666666666,sim,0.0,0.0,[],CLOSED
20260916T004537Z,alpaca_live,2,NVDA,AMD,semis,LONG_SPREAD,2026-01-13 05:00:00,2026-01-15 05:00:00,-2.661413904003266,0.0151901358124585,-10.863248891904531,0.2741742885638984,2,2.6766040398157247,,1.0,-2.661413904003266,2.661413904003266,2.6766040398157247,0.0666666666666666,0.6586554993116986,-0.087186794483307,0.0151901358124585,2.6766040398157247,2.6766040398157247,4.213904037051802,"[-2.661413904003266, 2.661413904003266, 2.6766040398157247, 0.06666666666666667, 0.6586554993116986, -0.08718679448330705, 0.015190135812458549, 2.6766040398157247, 2.6766040398157247, 4.213904037051802, 0.06666666666666667]",8023.695516461481,211.55308012953657,3.2094782065845924,0.0666666666666666,sim,0.0,0.0,[],CLOSED
20260916T004537Z,alpaca_live,4,MSFT,ORCL,hyperscaler,LONG_SPREAD,2026-03-11 04:00:00,2026-03-12 04:00:00,-2.796488212271622,0.4389082721368481,-37.80137522803557,6.895180832548704,1,3.2353964844084704,,1.0,-2.796488212271622,2.796488212271622,3.2353964844084704,0.0333333333333333,0.556998917262948,1.5271793412626835,0.4389082721368481,3.2353964844084704,3.2353964844084704,12.652553883641673,"[-2.796488212271622, 2.796488212271622, 3.2353964844084704, 0.03333333333333333, 0.556998917262948, 1.5271793412626835, 0.43890827213684813, 3.2353964844084704, 3.2353964844084704, 12.652553883641673, 0.06666666666666667]",8075.5277626063535,258.0451302237534,3.230211105042541,0.0666666666666666,sim,0.0,0.0,[],CLOSED
20260916T004537Z,alpaca_live,1,AAPL,MSFT,mag7,LONG_SPREAD,2026-04-13 04:00:00,2026-04-17 04:00:00,-2.498249277103637,1.244175170002721,-10.723422401773746,5.214061795828513,4,3.742424447106358,,1.0,-2.498249277103637,2.498249277103637,3.742424447106358,0.1333333333333333,0.5505829842835999,0.7522788305279959,1.244175170002721,3.742424447106358,3.742424447106358,4.892999762385677,"[-2.498249277103637, 2.498249277103637, 3.742424447106358, 0.13333333333333333, 0.5505829842835999, 0.7522788305279959, 1.244175170002721, 3.742424447106358, 3.742424447106358, 4.892999762385677, 0.06666666666666667]",8000.0,296.19395576850866,3.2,0.0666666666666666,sim,0.0,0.0,[],CLOSED
20260915T214539Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,2026-09-15 04:00:00,2.06313146586369,2.06313146586369,10.486363008561966,10.486363008561966,1,0.0,0.8438910512090843,0.0,2.06313146586369,2.06313146586369,0.0,0.0333333333333333,0.571816607980472,2.054673484821495,2.06313146586369,0.0,0.0,4.099067432579521,"[2.06313146586369, 2.06313146586369, 0.0, 0.03333333333333333, 0.571816607980472, 2.054673484821495, 2.06313146586369, 0.0, 0.0, 4.099067432579521, 0.06666666666666667]",0.0,0.0,0.0,0.0666666666666666,alpaca_paper,63.0,33.0,"[""591cb9e6-8ce4-4940-a920-eabc0aa6907e"", ""6a707506-12ed-41ed-a33c-bab5a2e8abe4""]",CLOSED
20260915T220049Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,,2.0631314658636795,,10.486363008561966,,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,alpaca_paper,63.0,33.0,[],OPEN
20260915T221548Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,,2.06313146586369,,10.486363008561966,,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,alpaca_paper,63.0,33.0,[],OPEN
20260915T223047Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,,2.06313146586369,,10.486363008561966,,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,alpaca_paper,63.0,33.0,[],OPEN
20260915T225645Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,,2.06313146586369,,10.486363008561966,,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,alpaca_paper,63.0,33.0,[],OPEN
20260915T225959Z,alpaca_live,1,QCOM,AVGO,semis,SHORT_SPREAD,2026-09-15 04:00:00,,2.0631314658636795,,10.486363008561966,,0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,alpaca_paper,63.0,33.0,[],OPEN
